Do you travel in city.?, TOV,TF,age,Locv,gmap,st,tst,mktgb,boty,dit,mktgbu,seewhat
Yes ,4 wheeler | 2 wheeler,Daily,19,No,Yes ,Yes ,60,Sometimes,"Jewellery Showroom , School or Tution institutes results , New apartments",Look around | Play radio | Think,Sometimes,advertisement with public awareness
Yes ,2 wheeler,weekly,20,No,Yes ,Yes ,40,Yes,"Clothing, footwear, toys etc",Look around | Look at quotes written on predecessors end,Yes,Creative and attractive
Yes ,2 wheeler,About once a week,20,No,Yes ,Yes ,45,Sometimes,"New Building nd flat 
New jewellery showroom 
New college",Look around,Sometimes,"New Building nd flat 
New jewellery showroom 
New college"
Yes ,4 wheeler,A few times a month,21,Yes ,Yes ,No,30,Yes,Yes,Think,Yes,Yes
Yes ,2 wheeler,weekly,22,No,Yes ,Yes ,130,Sometimes,Education,Look around | Think,Sometimes,Investment
Yes ,2 wheeler,weekly,18,No,No,No,30,Yes,Advertisement,Look around,Yes,Food
Yes ,4 wheeler | 2 wheeler,Daily,21,No,Yes  | No,Yes ,900,Yes | Sometimes,"School & University Advertisement, Blood Donation Camp Advertisement, Politicians Poster, etc",Look around | Look at quotes written on predecessors end | Think,Yes,"Boards regarding job opportunity in any particular company, if there comes a vacancy..."
Yes ,2 wheeler,Daily,19,No,No,Yes ,60,Yes,Boards promoting any product,Look around | Look at quotes written on predecessors end | Think,Yes,Boards with any social message
Yes ,4 wheeler | 2 wheeler,weekly,18,Yes ,Yes ,Yes ,40000,Sometimes,Right turn,Look around | Look at quotes written on predecessors end,Yes,New items
Yes ,2 wheeler,Daily,23,No,Yes ,Yes ,60,Yes,Big boards,Look at quotes written on predecessors end,Yes,With price tags and contacts
Yes ,2 wheeler,Daily,23,No,Yes ,Yes ,20,Yes,Everything,Look around,Yes,Everything
Yes ,2 wheeler,Daily,23,No,Yes ,Yes ,143,Yes | Sometimes,Shopping clothes brand,Look around | Think,Sometimes,Offers on swiggy or zomato
Yes ,2 wheeler,Daily,25,Yes ,Yes ,Yes ,90,Yes,"Clothing, food, jewellery",Look around | Think,Yes,Clothing
Yes ,2 wheeler,Daily,22,No,Yes ,Yes ,60,Sometimes,Ads,Look around,Yes,No preferences
Yes ,2 wheeler,A few times week,21,No,Yes ,Yes ,90,Yes,"Exam preparation, other of product marketing and many more",Look around | Think,Sometimes,"Regarding good product, quotes and other of positive type."
Yes ,2 wheeler,Daily,24,Yes ,Yes ,Yes ,120,Yes,"Housing society, automobile, insurance, banking, stock market ipo",Look around | Look at quotes written on predecessors end,Yes,"Housing society, automobile, insurance, banking"
Yes ,2 wheeler,weekly,21,No,Yes ,Yes ,30,Yes,Advertisement of companies,Look around,Yes,Advertisement of mobile phones and other electronics
Yes ,4 wheeler | 2 wheeler,Everyday,21,No,Yes ,Yes ,120,Yes,"Advertisements, coaching classes,",Look around | Play radio | Think,Yes,"Agricultural, housing, deals, etc."
Yes ,4 wheeler | 2 wheeler,Daily,23,Yes ,Yes ,Yes ,60,Yes,Ad,Look around,Yes,Ad
